module_code,module_title,programme_code,module_year,semester,assessment_type
452401,Introduction to Contemporary Arcane-Technics,5_2_4,1,1,Practical exam
452601,Introduction to Mycology & Mycelial Systems,5_2_6,1,1,Written coursework
452502,Interoperability of Magical & Mechanical Systems,5_2_6,1,1,Written coursework
452403,"Energy, Power & Light Systems",5_2_6,1,2,Written coursework
422403,Visual Communication,2_2_4,1,2,Professional artefact
422404,Digital Skills for Illustrators,2_2_4,1,2,Professional artefact
422401,Introduction to Illustration,2_2_4,1,1,Written coursework
422402,Drawing & Image-Making,2_2_4,1,1,Professional artefact
453701,Cell Biology & Life Processes,5_3_7,1,1,Practical exam
434801,"Memory, Myth & Storytelling",3_4_8,1,1,Written exam
434702,Moral Philosophy,3_4_8,1,1,Written coursework
434603,"Calendars, Seasons & Festivals",3_4_8,1,2,Written coursework
422201,Introduction to Printmaking Techniques,2_2_2,1,1,Professional artefact
422204,Art History & Visual Culture,2_2_2,1,2,Written exam
422202,Cyanotype Processes,2_2_2,1,1,Presentation
422203,Drawing & Image Development,2_2_2,1,2,Professional artefact
452501,Foundations of Multi-System Design,5_2_5,1,1,Written coursework
452402,Materials of the Modern Age,5_2_5,1,1,Practical exam
441103,Child & Adolescent Development,4_1_3,1,2,Professional artefact
441301,Foundations of Lifespan Learning,4_1_3,1,1,Written coursework
441202,Communication & Coaching Skills,4_1_3,1,1,Written coursework
435902,Communication & Mediation Skills,3_5_10,1,1,Professional artefact
4351001,Principles of Economics,3_5_10,1,1,Written exam
434701,Introduction to Philosophy of Religion,3_4_7,1,1,Written exam
434602,"Symbols, Dress & Pageantry",3_4_7,1,1,Written coursework
4421201,Foundations of Somatic Awareness,4_2_12,1,1,Practical exam
4421102,Development & Lifespan,4_2_12,1,1,Written coursework
4421003,Physiology & Pathophysiology,4_2_12,1,2,Groupwork
442904,Introduction to Pharmacy Practice,4_2_12,1,2,Practical exam
411103,Business Economics,1_1_2,1,2,Written exam
411201,Principles of Management,1_1_2,1,1,Written exam
411202,Introduction to Marketing,1_1_2,1,1,Written coursework
411203,Organisational Behaviour,1_1_2,1,2,Multi-choice exam
432201,Early Modern History,3_2_2,1,1,Written exam
432204,Themes in World History,3_2_2,1,2,Written exam
432202,Modern World History,3_2_2,1,1,Written coursework
432203,Historical Methods,3_2_2,1,2,Groupwork
433303,Grammar & Linguistics,3_3_5,1,2,Written exam
433501,Introduction to Multispecies Communication,3_3_5,1,1,Groupwork
4241202,Drawing & Spatial Visualisation,2_4_12,1,1,Practical exam
4241204,History of Interiors,2_4_12,1,2,Written exam
4241201,Introduction to Interior Design,2_4_12,1,1,Professional artefact
4241203,Materials & Finishes,2_4_12,1,2,Professional artefact
442401,Introduction to Herbal Lore,4_2_4,1,1,Groupwork
453901,General Chemistry Principles,5_3_9,1,1,Practical exam
453703,Ecology & Ecosystems,5_3_9,1,2,Groupwork
453802,Cellular Pathology,5_3_9,1,1,Practical exam
435901,Introduction to Conflict Studies,3_5_9,1,1,Written exam
4351101,Foundations of Elven Moral Thought,3_5_11,1,1,Written coursework
4351002,"Markets, Trade & Resources",3_5_11,1,1,Written coursework
435903,"Power, Identity & Society",3_5_11,1,2,Written exam
441101,Foundations of Education,4_1_1,1,1,Professional artefact
441201,Principles of Mentorship,4_1_2,1,1,Written coursework
441102,Learning Theories,4_1_2,1,1,Practical exam
442402,Plant Identification & Ecology,4_2_5,1,1,Groupwork
442501,Foundations of Mind-Body Systems,4_2_5,1,1,Written coursework
422604,Composition I,2_2_6,1,2,Professional artefact
422603,Music History,2_2_6,1,2,Written exam
422602,Performance I,2_2_6,1,1,Professional artefact
422601,Music Theory & Harmony,2_2_6,1,1,Written exam
4361501,Introduction to Sociology,3_6_15,1,1,Written exam
4361402,Cognitive Psychology,3_6_15,1,1,Written exam
412101,Contract Law,1_2_1,1,1,Written exam
412102,Criminal Law,1_2_1,1,1,Written exam
412103,Public Law,1_2_1,1,2,Written exam
412104,Legal System & Skills,1_2_1,1,2,Practical exam
423701,Reading the Object: Material Histories and Markings,2_3_7,1,1,Groupwork
423703,"Techniques for Metal, Wood, and Mixed Materials",2_3_7,1,2,Practical exam
423702,Principles of Conservation and Ethical Restoration,2_3_7,1,1,Groupwork
423704,World Prehistory,2_3_7,1,2,Written exam
442801,Introduction to Occupational Therapy,4_2_8,1,1,Practical exam
442502,Anatomy & Physiology,4_2_8,1,1,Practical exam
442603,Pregnancy & Prenatal Development,4_2_8,1,2,Written coursework
442504,"Health, Stress & Regulation",4_2_8,1,2,Practical exam
4531001,Earth Systems & Environments,5_3_10,1,1,Practical exam
453704,Evolutionary Biology,5_3_10,1,2,Written coursework
453803,Biochemistry for Life Sciences,5_3_10,1,2,Practical exam
453902,Organic Chemistry Fundamentals,5_3_10,1,1,Practical exam
431104,Earth Systems,3_1_1,1,2,Written exam
431103,Geographical Skills,3_1_1,1,2,Practical exam
431101,Physical Geography,3_1_1,1,1,Groupwork
431102,Person-Centred Geography,3_1_1,1,1,Presentation
421104,Environmental Design Principles,2_1_1,1,2,Professional artefact
421102,Architectural History & Theory I,2_1_1,1,1,Written exam
421103,Building Construction & Materials,2_1_1,1,2,Professional artefact
421101,Design Studio I,2_1_1,1,1,Written coursework
451201,Foundations of Mechanics,5_1_2,1,1,Written coursework
4241004,Fashion History & Context,2_4_10,1,2,Written exam
4241001,Introduction to Fashion Design,2_4_10,1,1,Professional artefact
4241003,Pattern Cutting & Garment Construction,2_4_10,1,2,Written coursework
4241002,Drawing & Illustration for Fashion,2_4_10,1,1,Professional artefact
422503,Media Production,2_2_5,1,2,Professional artefact
422502,Media Industries & Institutions,2_2_5,1,1,Practical exam
422504,Media Audiences & Representation,2_2_5,1,2,Presentation
422501,Introduction to Media Studies,2_2_5,1,1,Written coursework
422304,Materials & Processes,2_2_3,1,2,Professional artefact
422303,Art History & Context,2_2_3,1,2,Written exam
422301,Studio Practice I,2_2_3,1,1,Professional artefact
422302,Drawing & Visual Language,2_2_3,1,1,Professional artefact
442403,Foundations of Vital Energies,4_2_6,1,2,Professional artefact
442601,Foundations of Midwifery Care,4_2_6,1,1,Written coursework
423802,"Yeasts, Bacteria, and Microbial Worlds",2_3_8,1,1,Written coursework
423803,Brewing Traditions and Cultural Practice,2_3_8,1,2,Professional artefact
423801,The Alchemy of Fermentation,2_3_8,1,1,Professional artefact
423804,Chemistry of Beer & Fermentation,2_3_8,1,2,Professional artefact
451202,Materials & Craft of Metals and Stone,5_1_3,1,1,Practical exam
451301,Introduction to Systems Thinking,5_1_3,1,1,Written coursework
434601,Introduction to Ceremonial Practice,3_4_6,1,1,Groupwork
453903,Inorganic Chemistry,5_3_11,1,2,Practical exam
4531101,Calculus & Algebra,5_3_11,1,1,Practical exam
453804,Laboratory Skills & Diagnostics,5_3_11,1,2,Practical exam
4531002,Ecology & Biodiversity,5_3_11,1,1,Written coursework
433301,Language Skills I,3_3_3,1,1,Written coursework
4351102,Governance Traditions of the Forest Realms,3_5_12,1,1,Written exam
435904,History of Conflicts,3_5_12,1,2,Written exam
4351003,Economic History of Realms,3_5_12,1,2,Written exam
4351201,"Stories, Myths & Power",3_5_12,1,1,Written coursework
411302,Marketing Fundamentals,1_1_3,1,1,Written coursework
411301,Introduction to Entrepreneurship,1_1_3,1,1,Presentation
423901,Introduction to Metalworking,2_3_9,1,1,Professional artefact
423902,Materials & Metallurgy,2_3_9,1,1,Written coursework
423904,Technical Drawing & Design,2_3_9,1,2,Practical exam
423903,Workshop Practice & Safety,2_3_9,1,2,Professional artefact
4351103,"Ethics, Law & Stewardship",3_5_13,1,2,Written exam
4351301,Introduction to Politics,3_5_13,1,1,Written coursework
4351004,Quantitative Methods,3_5_13,1,2,Written coursework
4351202,Introduction to Institutions,3_5_13,1,1,Written coursework
4361401,Introduction to Psychology,3_6_14,1,1,Written exam
453702,Genetics & Inheritance,5_3_8,1,1,Written coursework
453801,Anatomy & Physiology,5_3_8,1,1,Practical exam
4421002,Foundations of Physiotherapy,4_2_11,1,1,Practical exam
442604,Professional Practice & Ethics,4_2_11,1,2,Written coursework
442903,Pharmaceutical Chemistry,4_2_11,1,2,Practical exam
4421101,Introduction to Social Work,4_2_11,1,1,Practical exam
4241101,Introduction to Graphic Design,2_4_11,1,1,Professional artefact
4241102,Typography & Runography,2_4_11,1,1,Professional artefact
4241103,Digital Design Skills,2_4_11,1,2,Practical exam
442404,Preparation & Safety in Herbal Practice,4_2_7,1,2,Groupwork
