student_id,academic_year,programme_year,survey_responded,is_repeat_year,career_clarity,career_confidence,belonging_peers,belonging_programme,academic_self_efficacy,support_satisfaction
0,1046-47,1,True,False,3.0,3.0,4.0,3.0,4.0,4.0
1,1046-47,1,True,False,3.0,3.0,4.0,4.0,3.0,4.0
2,1046-47,1,True,False,3.0,3.0,3.0,4.0,4.0,3.0
3,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,4.0
4,1046-47,1,True,False,3.0,4.0,3.0,3.0,3.0,4.0
5,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,4.0
6,1046-47,1,False,False,,,,,,
7,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,3.0
8,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,3.0
9,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,4.0
10,1046-47,1,True,False,3.0,3.0,3.0,4.0,4.0,3.0
11,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,4.0
12,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,3.0
13,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,3.0
14,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,4.0
15,1046-47,1,True,False,3.0,4.0,3.0,3.0,4.0,3.0
16,1046-47,1,True,False,3.0,3.0,3.0,4.0,4.0,4.0
17,1046-47,1,False,False,,,,,,
18,1046-47,1,True,False,3.0,3.0,3.0,4.0,4.0,3.0
19,1046-47,1,True,False,3.0,3.0,4.0,4.0,4.0,3.0
20,1046-47,1,True,False,3.0,3.0,3.0,4.0,3.0,3.0
21,1046-47,1,True,False,3.0,3.0,4.0,4.0,4.0,3.0
22,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,4.0
23,1046-47,1,False,False,,,,,,
24,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,4.0
25,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,3.0
26,1046-47,1,True,False,3.0,3.0,4.0,3.0,3.0,3.0
27,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,4.0
28,1046-47,1,False,False,,,,,,
29,1046-47,1,True,False,4.0,3.0,3.0,4.0,4.0,4.0
30,1046-47,1,True,False,3.0,3.0,4.0,4.0,4.0,4.0
31,1046-47,1,True,False,3.0,3.0,4.0,3.0,3.0,3.0
32,1046-47,1,True,False,4.0,3.0,3.0,3.0,4.0,3.0
33,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,3.0
34,1046-47,1,True,False,4.0,4.0,4.0,3.0,3.0,3.0
35,1046-47,1,True,False,3.0,3.0,3.0,3.0,5.0,4.0
36,1046-47,1,False,False,,,,,,
37,1046-47,1,True,False,3.0,3.0,4.0,4.0,3.0,3.0
38,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,3.0
39,1046-47,1,True,False,4.0,3.0,3.0,4.0,5.0,3.0
40,1046-47,1,True,False,3.0,4.0,3.0,3.0,3.0,4.0
41,1046-47,1,True,False,3.0,3.0,3.0,3.0,3.0,3.0
42,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,3.0
43,1046-47,1,True,False,3.0,4.0,4.0,3.0,4.0,3.0
44,1046-47,1,False,False,,,,,,
45,1046-47,1,True,False,3.0,3.0,4.0,3.0,4.0,3.0
46,1046-47,1,True,False,3.0,3.0,3.0,3.0,4.0,4.0
47,1046-47,1,True,False,3.0,3.0,4.0,3.0,3.0,3.0
48,1046-47,1,True,False,3.0,4.0,3.0,3.0,4.0,3.0
49,1046-47,1,False,False,,,,,,
50,1046-47,1,False,False,,,,,,
51,1046-47,1,True,False,3.0,3.0,4.0,4.0,4.0,3.0
52,1046-47,1,True,False,3.0,3.0,3.0,4.0,3.0,4.0
53,1046-47,1,True,False,4.0,3.0,3.0,3.0,3.0,3.0
54,1046-47,1,True,False,4.0,3.0,3.0,3.0,4.0,3.0
