student_id,academic_year,year_outcome,status,status_change_at,programme_year_next,avg_mark,modules_passed,modules_total
0,1046-47,pass,enrolled,1047-09-01,2.0,50.6,1,1
1,1046-47,pass,enrolled,1047-09-01,2.0,77.47,3,3
10,1046-47,fail,withdrawn,1047-09-01,,42.63,1,3
100,1046-47,pass,enrolled,1047-09-01,2.0,56.6,1,1
1000,1046-47,pass,enrolled,1047-09-01,2.0,77.13,3,3
1001,1046-47,pass,withdrawn,1047-09-01,,56.1,1,1
1002,1046-47,pass,enrolled,1047-09-01,2.0,66.67,4,4
1003,1046-47,pass,enrolled,1047-09-01,2.0,50.77,3,3
1004,1046-47,pass,enrolled,1047-09-01,2.0,78.57,3,3
1005,1046-47,pass,enrolled,1047-09-01,2.0,53.95,4,4
1006,1046-47,pass,enrolled,1047-09-01,2.0,68.12,4,4
1007,1046-47,pass,enrolled,1047-09-01,2.0,60.95,2,2
1008,1046-47,pass,enrolled,1047-09-01,2.0,72.8,3,3
1009,1046-47,fail,withdrawn,1047-09-01,,41.15,1,4
101,1046-47,pass,enrolled,1047-09-01,2.0,85.6,1,1
1010,1046-47,pass,enrolled,1047-09-01,2.0,64.38,4,4
1011,1046-47,pass,enrolled,1047-09-01,2.0,69.47,4,4
1012,1046-47,pass,enrolled,1047-09-01,2.0,54.03,4,4
1013,1046-47,pass,enrolled,1047-09-01,2.0,64.45,4,4
1014,1046-47,pass,enrolled,1047-09-01,2.0,83.0,2,2
1015,1046-47,pass,enrolled,1047-09-01,2.0,58.8,1,1
1016,1046-47,pass,enrolled,1047-09-01,2.0,74.25,4,4
1017,1046-47,fail,withdrawn,1047-09-01,,49.52,3,4
1018,1046-47,pass,enrolled,1047-09-01,2.0,72.17,3,3
1019,1046-47,pass,enrolled,1047-09-01,2.0,53.3,2,2
102,1046-47,pass,enrolled,1047-09-01,2.0,61.7,1,1
1020,1046-47,pass,enrolled,1047-09-01,2.0,49.0,1,1
1021,1046-47,pass,enrolled,1047-09-01,2.0,68.35,2,2
1022,1046-47,pass,enrolled,1047-09-01,2.0,51.9,1,1
1023,1046-47,pass,enrolled,1047-09-01,2.0,54.4,3,3
1024,1046-47,pass,enrolled,1047-09-01,2.0,60.65,4,4
1025,1046-47,pass,withdrawn,1047-09-01,,70.3,3,3
1026,1046-47,pass,enrolled,1047-09-01,2.0,52.83,3,3
1027,1046-47,pass,enrolled,1047-09-01,2.0,60.85,2,2
1028,1046-47,pass,enrolled,1047-09-01,2.0,74.5,4,4
1029,1046-47,pass,enrolled,1047-09-01,2.0,66.2,1,1
103,1046-47,pass,enrolled,1047-09-01,2.0,69.17,4,4
1030,1046-47,fail,repeating,1047-09-01,1.0,41.95,1,2
1031,1046-47,pass,enrolled,1047-09-01,2.0,54.1,2,2
1032,1046-47,pass,enrolled,1047-09-01,2.0,49.8,1,1
1033,1046-47,pass,enrolled,1047-09-01,2.0,80.67,3,3
1034,1046-47,pass,enrolled,1047-09-01,2.0,63.33,4,4
1035,1046-47,pass,enrolled,1047-09-01,2.0,78.0,3,3
1036,1046-47,pass,enrolled,1047-09-01,2.0,52.02,4,4
1037,1046-47,fail,withdrawn,1047-09-01,,46.6,2,3
1038,1046-47,pass,enrolled,1047-09-01,2.0,56.17,3,3
1039,1046-47,pass,enrolled,1047-09-01,2.0,58.65,2,2
104,1046-47,pass,enrolled,1047-09-01,2.0,55.35,2,2
1040,1046-47,pass,enrolled,1047-09-01,2.0,68.8,4,4
1041,1046-47,pass,enrolled,1047-09-01,2.0,50.35,4,4
