student_id,academic_year,module_code,semester,attended_sessions_w01,attended_sessions_w02,attended_sessions_w03,attended_sessions_w04,attended_sessions_w05,attended_sessions_w06,total_sessions_w01,total_sessions_w02,total_sessions_w03,total_sessions_w04,total_sessions_w05,total_sessions_w06,vle_forum_posts_w01,vle_forum_posts_w02,vle_forum_posts_w03,vle_forum_posts_w04,vle_forum_posts_w05,vle_forum_posts_w06,vle_logins_w01,vle_logins_w02,vle_logins_w03,vle_logins_w04,vle_logins_w05,vle_logins_w06,vle_mean_login_hour_w01,vle_mean_login_hour_w02,vle_mean_login_hour_w03,vle_mean_login_hour_w04,vle_mean_login_hour_w05,vle_mean_login_hour_w06,vle_resource_views_w01,vle_resource_views_w02,vle_resource_views_w03,vle_resource_views_w04,vle_resource_views_w05,vle_resource_views_w06,midterm_score,final_score
21622,1050-51,441101,1,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,7.0,13.0,4.0,7.0,8.0,4.0,11.883333333333333,14.883333333333333,15.95,16.4,13.95,16.683333333333334,15.0,27.0,8.0,14.0,16.0,11.0,77.5,65.8
7404,1047-48,442401,1,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,8.0,8.0,9.0,13.0,7.0,13.15,16.3,16.683333333333334,14.95,12.183333333333334,15.033333333333331,15.0,15.0,15.0,17.0,24.0,18.0,90.3,82.2
18572,1049-50,4531102,1,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,11.883333333333333,13.583333333333334,15.55,16.266666666666666,13.85,18.83333333333333,2.0,0.0,0.0,0.0,2.0,0.0,60.6,56.3
3258,1046-47,422503,2,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,15.5,14.516666666666667,18.933333333333334,15.733333333333333,12.3,19.75,0.0,5.0,4.0,0.0,2.0,9.0,52.6,80.8
28438,1051-52,435902,1,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,8.0,1.0,7.0,2.0,11.0,10.0,15.55,17.283333333333335,12.766666666666667,18.066666666666663,18.316666666666663,14.683333333333334,17.0,2.0,17.0,4.0,23.0,28.0,70.3,33.6
11497,1050-51,5241202,1,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,10.85,18.08333333333333,17.516666666666666,13.7,13.866666666666667,13.416666666666666,0.0,2.0,0.0,0.0,5.0,3.0,60.1,80.8
18225,1050-51,521102,1,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,11.966666666666669,14.8,12.5,9.65,13.183333333333334,13.116666666666667,3.0,3.0,3.0,0.0,5.0,3.0,72.0,62.3
3326,1047-48,411202,2,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,2.0,4.0,14.0,14.0,7.0,6.0,4.0,12.883333333333333,12.433333333333334,13.883333333333333,16.583333333333332,12.833333333333334,15.366666666666667,8.0,25.0,26.0,15.0,12.0,11.0,63.8,45.9
22262,1052-53,632202,2,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,16.616666666666667,17.35,11.233333333333333,17.783333333333335,11.966666666666669,13.166666666666666,0.0,3.0,0.0,3.0,0.0,16.0,53.7,64.5
12916,1049-50,542601,1,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,14.583333333333334,14.0,16.2,11.966666666666669,13.383333333333333,19.5,0.0,2.0,0.0,0.0,4.0,6.0,69.0,40.1
7345,1047-48,453804,2,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,8.0,7.0,5.0,6.0,9.0,5.0,20.433333333333334,16.033333333333335,12.05,16.166666666666668,11.983333333333333,13.85,18.0,13.0,10.0,12.0,17.0,13.0,49.2,44.2
11429,1049-50,521102,1,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.366666666666667,19.2,16.116666666666667,17.3,19.216666666666665,15.966666666666669,0.0,0.0,2.0,0.0,2.0,0.0,50.0,42.4
15917,1051-52,623701,2,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,3.0,1.0,3.0,1.0,5.0,4.0,4.0,4.0,12.0,4.0,14.716666666666669,15.866666666666667,16.45,15.566666666666666,14.166666666666666,14.166666666666666,15.0,11.0,11.0,10.0,34.0,16.0,43.4,62.4
17940,1051-52,611504,2,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,12.816666666666666,13.333333333333334,14.766666666666667,12.366666666666667,12.833333333333334,13.966666666666669,0.0,2.0,0.0,0.0,2.0,0.0,95.9,99.7
